term,suggested_category,similarity_score,is_seed,oov
powder,Physical evidence,0.4039,False,False
pounds,Weapons and projectiles,0.1745,False,False
postmark,Crime scene objects,0.2619,False,False
post,Crime scene objects,0.3973,False,False
possibility,Detection and investigation terms,0.415,False,False
possession,Detection and investigation terms,0.4707,False,False
position,Physical evidence,0.4547,False,False
portsmouth,Clothing and personal items,0.3628,False,False
porter,Clothing and personal items,0.1861,False,False
port,Clothing and personal items,0.4222,False,False
porch_front,General use,0.0,False,True
pools,Substances and poisons,0.5259,False,False
pool_blood,General use,0.0,False,True
pool,Substances and poisons,0.5259,False,False
pondicherry,Substances and poisons,0.1153,False,False
politicians,Detection and investigation terms,0.376,False,False
policeman,Locations and environments,0.5392,False,False
police_investigation,General use,0.0,False,True
police_inspector,General use,0.0,False,True
police,Locations and environments,0.5392,False,False
poisoning,Substances and poisons,0.7206,False,False
poison_system,General use,0.0,False,True
poison,Substances and poisons,0.7206,True,False
points,Injuries and body parts,0.1357,False,False
point_question,General use,0.0,False,True
point_presumption,General use,0.0,False,True
point_path,General use,0.0,False,True
point_knife,General use,0.0,False,True
point_importance,General use,0.0,False,True
point_handwriting,General use,0.0,False,True
point_eye,General use,0.0,False,True
point_discussion,General use,0.0,False,True
point_course,General use,0.0,False,True
point_case,General use,0.0,False,True
point,Physical evidence,0.5728,False,False
pockets,Clothing and personal items,0.3473,False,False
pocket_mr_,Clothing and personal items,0.1296,False,False
pocket_mr,General use,0.0,False,True
pocket,Clothing and personal items,0.3473,False,False
plymouth,Clothing and personal items,0.3628,False,False
plural,Physical evidence,0.4147,False,False
pleasure,Injuries and body parts,0.2305,False,False
platform_figure,General use,0.0,False,True
plates,Weapons and projectiles,0.7421,False,False
plaster,Physical evidence,0.4146,False,False
plants,Clothing and personal items,0.448,False,False
planting,Clothing and personal items,0.448,False,False
plant,Substances and poisons,0.4172,False,False
plans,Detection and investigation terms,0.4465,False,False
places,Physical evidence,0.4912,False,False
place_hand,General use,0.0,False,True
place,Detection and investigation terms,0.4853,False,False
pity,Crime scene objects,0.3933,False,False
pistols,Weapons and projectiles,0.8046,False,False
pistol_table,General use,0.0,False,True
pistol_pocket,General use,0.0,False,True
pistol_head,General use,0.0,False,True
pistol_hand,General use,0.0,False,True
pistol_,Weapons and projectiles,0.5851,False,False
pistol,Weapons and projectiles,0.8046,True,False
pipes,Physical evidence,0.4584,False,False
pipe_tobacco,General use,0.0,False,True
pipe_pouch,General use,0.0,False,True
pipe_mantelpiece,General use,0.0,False,True
pipe_lips,General use,0.0,False,True
pipe_lamp,General use,0.0,False,True
pipe_feet,General use,0.0,False,True
pipe_cigar_cigarette,General use,0.0,False,True
pipe_cigar,General use,0.0,False,True
pipe_chair,General use,0.0,False,True
pipe,Clothing and personal items,0.7726,False,False
pinch,Clothing and personal items,0.4108,False,False
pile_papers,General use,0.0,False,True
pile,Clothing and personal items,0.4523,False,False
pieces,Crime scene objects,0.6618,False,False
piece_paper,General use,0.0,False,True
piece_evidence,General use,0.0,False,True
piece_cardboard,General use,0.0,False,True
piece,Crime scene objects,0.5123,False,False
picture,Locations and environments,0.3278,False,False
phrases,Physical evidence,0.4147,False,False
phrase,Physical evidence,0.5728,False,False
photograph,Physical evidence,0.2852,False,False
peters,Clothing and personal items,0.324,False,False
peter,Clothing and personal items,0.3978,False,False
person,Crime scene objects,0.4097,False,False
perpetrator,Locations and environments,0.3398,False,False
permission_house,General use,0.0,False,True
permission,Detection and investigation terms,0.4707,False,False
performance,Detection and investigation terms,0.5695,False,False
perception,Detection and investigation terms,0.5106,False,False
people,Clothing and personal items,0.3383,False,False
penknife,Weapons and projectiles,0.858,False,False
pencils,Physical evidence,0.4053,False,False
pencil,Crime scene objects,0.6618,False,False
pen,Crime scene objects,0.6618,True,False
pellet,Physical evidence,0.3805,False,False
peculiarities,Physical evidence,0.4147,False,False
peaty,Physical evidence,0.5125,False,False
peat,Clothing and personal items,0.4176,False,False
pearl,Clothing and personal items,0.249,False,False
peace,Detection and investigation terms,0.3444,False,False
pavement,Clothing and personal items,0.4169,False,False
patients,Injuries and body parts,0.6459,False,False
patient_man,General use,0.0,False,True
patient,Injuries and body parts,0.6459,False,False
patience,Locations and environments,0.2872,False,False
pathway,Injuries and body parts,0.5531,False,False
paths,Detection and investigation terms,0.3868,False,False
pathology,Injuries and body parts,0.5155,False,False
path_point,General use,0.0,False,True
path_grass,General use,0.0,False,True
path_garden,General use,0.0,False,True
path,Physical evidence,0.397,False,False
patches,Clothing and personal items,0.4222,False,False
patch,Clothing and personal items,0.4222,False,False
past,Physical evidence,0.4706,False,False
passion,Physical evidence,0.4092,False,False
passage,Physical evidence,0.5728,False,False
party,Detection and investigation terms,0.4853,False,False
particulars,Physical evidence,0.5728,False,False
part,Crime scene objects,0.2307,False,False
parliament,Detection and investigation terms,0.5123,False,False
park,Clothing and personal items,0.3628,False,False
paragraph,Physical evidence,0.5728,False,False
papers_years,General use,0.0,False,True
papers_table,General use,0.0,False,True
papers_room,General use,0.0,False,True
papers_others,General use,0.0,False,True
papers_matter,General use,0.0,False,True
papers_key,General use,0.0,False,True
papers_hope,General use,0.0,False,True
papers_hand,General use,0.0,False,True
papers_door,General use,0.0,False,True
papers_day,General use,0.0,False,True
papers,Crime scene objects,0.6618,False,False
paper_words,General use,0.0,False,True
paper_way,General use,0.0,False,True
paper_trace,General use,0.0,False,True
paper_table,General use,0.0,False,True
paper_pencil,General use,0.0,False,True
paper_paragraph,General use,0.0,False,True
paper_packet,General use,0.0,False,True
paper_importance,General use,0.0,False,True
paper_hand,General use,0.0,False,True
paper_figures,General use,0.0,False,True
paper_brass,General use,0.0,False,True
paper__,Crime scene objects,0.3236,False,False
paper,Crime scene objects,0.6618,False,False
panel,Detection and investigation terms,0.6376,False,False
palm,Clothing and personal items,0.502,False,False
pair_glasses,General use,0.0,False,True
pair,Clothing and personal items,0.4263,False,False
pains,Injuries and body parts,0.5078,False,False
page,Crime scene objects,0.5123,False,False
packet,Physical evidence,0.4791,False,False
pace,Clothing and personal items,0.4169,False,False
owner,Detection and investigation terms,0.2951,False,False
outset,Detection and investigation terms,0.5204,False,False
outrages,Locations and environments,0.3398,False,False
outrage,Crime scene objects,0.3949,False,False
outline_footmark,General use,0.0,False,True
outline,Physical evidence,0.5728,False,False
outhouse,Clothing and personal items,0.4176,False,False
others_figures,General use,0.0,False,True
others,Detection and investigation terms,0.4126,False,False
orders_letter,General use,0.0,False,True
orders,Detection and investigation terms,0.3398,False,False
order,Clothing and personal items,0.2957,False,False
orchard,Clothing and personal items,0.4851,False,False
opposite,Physical evidence,0.5818,False,False
opportunity,Physical evidence,0.397,False,False
opium,Substances and poisons,0.3997,True,False
opinion_subject,General use,0.0,False,True
opinion_point,General use,0.0,False,True
opinion_case,General use,0.0,False,True
opinion,Detection and investigation terms,0.423,False,False
opening,Physical evidence,0.3176,False,False
ones_system,General use,0.0,False,True
ones,Clothing and personal items,0.3486,False,False
one_purpose,General use,0.0,False,True
one_inspector,General use,0.0,False,True
one_information,General use,0.0,False,True
one_bell,General use,0.0,False,True
one,Physical evidence,0.4912,False,False
olive,Clothing and personal items,0.4108,False,False
official,Crime scene objects,0.6409,False,False
offices_letter,General use,0.0,False,True
officers,Detection and investigation terms,0.4707,False,False
officer,Detection and investigation terms,0.4707,False,False
office_city,General use,0.0,False,True
office,Detection and investigation terms,0.2856,False,False
odour,Substances and poisons,0.5259,False,False
oclock,Locations and environments,0.2005,False,False
occurrence,Injuries and body parts,0.5011,False,False
occasion_marriage,General use,0.0,False,True
occasion,Crime scene objects,0.3933,False,False
observer,Detection and investigation terms,0.5057,False,False
observations,Physical evidence,0.4847,False,False
observation_inference,General use,0.0,False,True
observation_analysis,General use,0.0,False,True
observation,Physical evidence,0.5728,False,False
objection,Detection and investigation terms,0.5212,False,False
object_scandal,General use,0.0,False,True
object,Physical evidence,0.3478,False,False
oaths,Detection and investigation terms,0.4486,False,False
oath,Detection and investigation terms,0.4486,False,False
oaks,Clothing and personal items,0.3628,False,False
nutshell,Physical evidence,0.5728,False,False
nut,Clothing and personal items,0.4872,False,False
number_cab,General use,0.0,False,True
number,Physical evidence,0.6391,False,False
notion,Detection and investigation terms,0.5212,False,False
notice,Detection and investigation terms,0.4707,False,False
notes,Crime scene objects,0.3973,False,False
notebooks,Clothing and personal items,0.2028,False,False
notebook,Clothing and personal items,0.2028,False,False
note_hand,General use,0.0,False,True
note,Physical evidence,0.5728,False,False
nose,Injuries and body parts,0.395,False,False
norwood,Substances and poisons,0.198,False,False
north,Clothing and personal items,0.4232,False,False
norfolk,Clothing and personal items,0.3628,False,False
nonsense,Physical evidence,0.4334,False,False
none_papers,General use,0.0,False,True
none_man,General use,0.0,False,True
none,Physical evidence,0.4706,False,False
nights,Clothing and personal items,0.3078,False,False
night_wind,General use,0.0,False,True
night_telegram,General use,0.0,False,True
night_papers,General use,0.0,False,True
night_paper,General use,0.0,False,True
night_name,General use,0.0,False,True
night_lawn,General use,0.0,False,True
night_hut,General use,0.0,False,True
night_hand,General use,0.0,False,True
night_face,General use,0.0,False,True
night,Physical evidence,0.4912,False,False
nicotine,Physical evidence,0.6313,False,False
niagara,Clothing and personal items,0.3628,False,False
newspapers,Crime scene objects,0.6618,False,False
newspaper_table,General use,0.0,False,True
newspaper,Crime scene objects,0.6618,False,False
news_morning,General use,0.0,False,True
news_agencies,General use,0.0,False,True
news,Crime scene objects,0.5123,False,False
net_round,General use,0.0,False,True
nerves_steel,General use,0.0,False,True
nerves,Injuries and body parts,0.6878,False,False
nerve_body,General use,0.0,False,True
nerve,Injuries and body parts,0.6878,False,False
neighbours,Clothing and personal items,0.3383,False,False
neighbourhood,Clothing and personal items,0.3263,False,False
neck,Injuries and body parts,0.5078,False,False
necessity,Detection and investigation terms,0.5212,False,False
navy,Clothing and personal items,0.4581,False,False
nature_study,General use,0.0,False,True
nature,Physical evidence,0.3546,False,False
narrative,Locations and environments,0.2607,False,False
naples,Clothing and personal items,0.3181,False,False
names,Physical evidence,0.2275,False,False
name_way,General use,0.0,False,True
name_name,General use,0.0,False,True
name_facts,General use,0.0,False,True
name_connection,General use,0.0,False,True
name_address,General use,0.0,False,True
name__,Clothing and personal items,0.2721,False,False
name,Crime scene objects,0.439,False,False
nails,Injuries and body parts,0.4882,False,False
mystery,Locations and environments,0.2607,False,False
muzzle,Weapons and projectiles,0.8046,False,False
musket,Weapons and projectiles,0.8046,False,False
muscles,Injuries and body parts,0.5078,False,False
murderers,Locations and environments,0.5878,False,False
murderer,Locations and environments,0.4877,False,False
murder_murder,General use,0.0,False,True
murder_man,General use,0.0,False,True
murder,Locations and environments,0.6337,False,False
mud,Clothing and personal items,0.4176,False,False
mrs_hudson,General use,0.0,False,True
mrs,Clothing and personal items,0.3978,False,False
mr_lestrade,General use,0.0,False,True
mr_joseph,General use,0.0,False,True
mr_gregson,General use,0.0,False,True
mr__,Clothing and personal items,0.2734,False,False
mr_,Clothing and personal items,0.3441,False,False
mr,Clothing and personal items,0.3978,False,False
mouth_eye,General use,0.0,False,True
mouth,Injuries and body parts,0.395,False,False
mountains,Clothing and personal items,0.3761,False,False
motives_actions,General use,0.0,False,True
motives,Detection and investigation terms,0.5212,False,False
motive_crime,General use,0.0,False,True
motive,Detection and investigation terms,0.5212,False,False
mother,Crime scene objects,0.3385,False,False
mortimer,Clothing and personal items,0.2362,False,False
morning_post__,Clothing and personal items,0.1296,False,False
morning_post,General use,0.0,False,True
morning_letter,General use,0.0,False,True
morning_investigation,General use,0.0,False,True
morning_interview,General use,0.0,False,True
morning_instructions,General use,0.0,False,True
morning_face,General use,0.0,False,True
morning_cell,General use,0.0,False,True
morning,Crime scene objects,0.3385,False,False
moriarty,Substances and poisons,0.1409,False,False
moran,Clothing and personal items,0.2892,False,False
moor_sheep,General use,0.0,False,True
moor,Clothing and personal items,0.2692,False,False
moon,Physical evidence,0.1802,False,False
months,Clothing and personal items,0.1759,False,False
month,Crime scene objects,0.274,False,False
monograph_subject,General use,0.0,False,True
monograph,Crime scene objects,0.3691,False,False
money_idea,General use,0.0,False,True
money,Detection and investigation terms,0.4129,False,False
monday_night,General use,0.0,False,True
monday,Clothing and personal items,0.3759,False,False
moment_face,General use,0.0,False,True
moment,Crime scene objects,0.3385,False,False
mixture,Physical evidence,0.4802,False,False
mistress,Clothing and personal items,0.169,False,False
mistake,Physical evidence,0.4236,False,False
miss,Clothing and personal items,0.385,False,False
misfortune,Weapons and projectiles,0.3316,False,False
mire,Detection and investigation terms,0.3672,False,False
minutes_mr_,Clothing and personal items,0.1296,False,False
minutes,Clothing and personal items,0.1759,False,False
minute,Detection and investigation terms,0.4953,False,False
mines,Physical evidence,0.4584,False,False
mine,Clothing and personal items,0.385,False,False
minds,Physical evidence,0.3546,False,False
mind_pipe,General use,0.0,False,True
mind_heart,General use,0.0,False,True
mind_ease,General use,0.0,False,True
mind,Clothing and personal items,0.4311,False,False
milk,Clothing and personal items,0.4872,False,False
miles,Physical evidence,0.401,False,False
mile,Clothing and personal items,0.2845,False,False
middle,Physical evidence,0.4547,False,False
methods,Physical evidence,0.4213,False,False
metal,Physical evidence,0.4584,False,False
message,Physical evidence,0.4661,False,False
mess,Clothing and personal items,0.4523,False,False
merits,Detection and investigation terms,0.5802,False,False
merit,Detection and investigation terms,0.5802,False,False
mercy,Locations and environments,0.2872,False,False
merchant,Detection and investigation terms,0.3398,False,False
mens,Clothing and personal items,0.4681,False,False
men_garden,General use,0.0,False,True
men_blood,General use,0.0,False,True
men,Locations and environments,0.3268,False,False
memory_occasion,General use,0.0,False,True
memory,Clothing and personal items,0.2617,False,False
memorandum,Crime scene objects,0.6409,False,False
members,Detection and investigation terms,0.6376,False,False
meeting,Crime scene objects,0.6409,False,False
meat,Clothing and personal items,0.5099,False,False
measures,Physical evidence,0.5156,False,False
measurement,Physical evidence,0.5954,False,False
measure,Physical evidence,0.4916,False,False
meantime,Clothing and personal items,0.4149,False,False
means,Physical evidence,0.5913,False,False
meaning,Physical evidence,0.5728,False,False
meals,Clothing and personal items,0.4395,False,False
meal,Clothing and personal items,0.5099,False,False
md,Clothing and personal items,0.3628,False,False
matters_place,General use,0.0,False,True
matters_doubt,General use,0.0,False,True
matters_case,General use,0.0,False,True
matters,Detection and investigation terms,0.4299,False,False
matter_word,General use,0.0,False,True
matter_sight,General use,0.0,False,True
matter_point,General use,0.0,False,True
matter_pipe,General use,0.0,False,True
matter_mistake,General use,0.0,False,True
matter_inquiry,General use,0.0,False,True
matter_importance,General use,0.0,False,True
matter_hand,General use,0.0,False,True
matter_evidence,General use,0.0,False,True
matter,Physical evidence,0.4912,False,False
material,Physical evidence,0.5251,False,False
match,Detection and investigation terms,0.3485,False,False
mastery,Detection and investigation terms,0.3131,False,False
master,Detection and investigation terms,0.39,False,False
mass_metal,General use,0.0,False,True
mask_face,General use,0.0,False,True
mask,Injuries and body parts,0.4882,False,False
mary,Clothing and personal items,0.3978,False,False
martin,Clothing and personal items,0.3978,False,False
marriage,Detection and investigation terms,0.3388,False,False
marks_grass_side,General use,0.0,False,True
marks_grass,General use,0.0,False,True
marks,Detection and investigation terms,0.3977,False,False
mark_,Clothing and personal items,0.3441,False,False
mark,Clothing and personal items,0.3978,False,False
manuscript,Physical evidence,0.2771,False,False
mantelpiece,Clothing and personal items,0.2265,False,False
mans_face,General use,0.0,False,True
mans_brain,General use,0.0,False,True
mans,Clothing and personal items,0.3591,False,False
manner_feeling,General use,0.0,False,True
manner,Physical evidence,0.5913,False,False
manifestations,Injuries and body parts,0.5964,False,False
manager,Crime scene objects,0.2564,False,False
man_violence,General use,0.0,False,True
man_statement,General use,0.0,False,True
man_sight,General use,0.0,False,True
man_revolver,General use,0.0,False,True
man_rest,General use,0.0,False,True
man_pistol,General use,0.0,False,True
man_murder,General use,0.0,False,True
man_iron,General use,0.0,False,True
man_inspector,General use,0.0,False,True
man_information,General use,0.0,False,True
man_heart,General use,0.0,False,True
man_habits,General use,0.0,False,True
man_face,General use,0.0,False,True
man_errand,General use,0.0,False,True
man_danger,General use,0.0,False,True
man_crime,General use,0.0,False,True
man_constitution,General use,0.0,False,True
man_command,General use,0.0,False,True
man_child,General use,0.0,False,True
man_antecedents,General use,0.0,False,True
man_,Locations and environments,0.3361,False,False
man,Locations and environments,0.5392,False,False
major,Physical evidence,0.3176,False,False
maid_telegram,General use,0.0,False,True
maid,Clothing and personal items,0.2033,False,False
magistrates,Detection and investigation terms,0.6376,False,False
madam,Crime scene objects,0.1663,False,False
machinery,Detection and investigation terms,0.3868,False,False
machine,Physical evidence,0.3547,False,False
lyons,Clothing and personal items,0.2738,False,False
lungs,Injuries and body parts,0.6544,False,False
lunch,Clothing and personal items,0.3078,False,False
lucy,Clothing and personal items,0.2968,False,False
luck_inquiry,General use,0.0,False,True
luck,Physical evidence,0.4912,False,False
lucas,Clothing and personal items,0.2692,False,False
love,Clothing and personal items,0.3679,False,False
louis,Clothing and personal items,0.4681,False,False
lot,Physical evidence,0.4912,False,False
loss_blood,General use,0.0,False,True
loss,Physical evidence,0.4259,False,False
lord,Clothing and personal items,0.3389,False,False
look_face,General use,0.0,False,True
look,Physical evidence,0.4912,False,False
london_london,General use,0.0,False,True
london_hotel,General use,0.0,False,True
london__,Clothing and personal items,0.2734,False,False
london,Clothing and personal items,0.3978,False,False
lodgings,Crime scene objects,0.0759,False,False
lodger,Clothing and personal items,0.129,False,False
lodge,Clothing and personal items,0.3628,False,False
lock_way,General use,0.0,False,True
lock_time,General use,0.0,False,True
lock_door,General use,0.0,False,True
lock,Weapons and projectiles,0.858,False,False
loaf,Clothing and personal items,0.4633,False,False
lives,Detection and investigation terms,0.3444,False,False
liverpool,Substances and poisons,0.0947,False,False
literature,Crime scene objects,0.3691,False,False
list,Detection and investigation terms,0.3762,False,False
lisp,Physical evidence,0.1658,False,False
liquid,Physical evidence,0.4802,False,False
lips_heart,General use,0.0,False,True
lips_face,General use,0.0,False,True
lips,Injuries and body parts,0.395,False,False
lip,Injuries and body parts,0.4882,False,False
link_chain,General use,0.0,False,True
link,Crime scene objects,0.5123,False,False
lining_hat,General use,0.0,False,True
lines,Detection and investigation terms,0.3868,False,False
line_teeth,General use,0.0,False,True
line_investigation,General use,0.0,False,True
line,Physical evidence,0.488,False,False
limb,Injuries and body parts,0.6878,False,False
lights_windows,General use,0.0,False,True
light_windows,General use,0.0,False,True
light_eye,General use,0.0,False,True
light,Weapons and projectiles,0.348,False,False
life_power,General use,0.0,False,True
life,Detection and investigation terms,0.3444,False,False
libraries,Physical evidence,0.1658,False,False
liberties,Detection and investigation terms,0.401,False,False
letters_word,General use,0.0,False,True
letters_papers,General use,0.0,False,True
letters_matter,General use,0.0,False,True
letters,Crime scene objects,0.6618,False,False
letter_step,General use,0.0,False,True
letter_sir,General use,0.0,False,True
letter_question,General use,0.0,False,True
letter_postscript,General use,0.0,False,True
letter_pocket,General use,0.0,False,True
letter_note,General use,0.0,False,True
letter_mr,General use,0.0,False,True
letter_morning,General use,0.0,False,True
letter_matter,General use,0.0,False,True
letter_lord,General use,0.0,False,True
letter_letter_letter,General use,0.0,False,True
letter_letter,General use,0.0,False,True
letter_hand,General use,0.0,False,True
letter_gentleman,General use,0.0,False,True
letter_father,General use,0.0,False,True
letter_breach,General use,0.0,False,True
letter_appointment,General use,0.0,False,True
letter_,Crime scene objects,0.4477,False,False
letter,Crime scene objects,0.6038,True,False
lestrade_scotland_yard,General use,0.0,False,True
lestrade,Locations and environments,0.1048,False,False
lessons,Physical evidence,0.214,False,False
lesson,Crime scene objects,0.3691,False,False
lens,Physical evidence,0.3195,False,False
length,Physical evidence,0.4128,False,False
legs,Injuries and body parts,0.2866,False,False
leg,Injuries and body parts,0.2866,False,False
left,Clothing and personal items,0.385,False,False
lee,Clothing and personal items,0.3978,False,False
league,Physical evidence,0.223,False,False
layer_dust,General use,0.0,False,True
layer,Physical evidence,0.4937,False,False
lawn_windows,General use,0.0,False,True
lawn_window,General use,0.0,False,True
lawn_room,General use,0.0,False,True
lawn_garden,General use,0.0,False,True
lawn_front,General use,0.0,False,True
lawn,Substances and poisons,0.4172,False,False
law,Detection and investigation terms,0.4393,False,False
laugh,Clothing and personal items,0.2644,False,False
lantern,Clothing and personal items,0.1836,False,False
languages,Physical evidence,0.4147,False,False
language,Physical evidence,0.4147,False,False
lane,Clothing and personal items,0.3379,False,False
landlady,Locations and environments,0.1404,False,False
land,Clothing and personal items,0.3857,False,False
lancaster,Clothing and personal items,0.3628,False,False
lamp,Weapons and projectiles,0.348,False,False
lake,Clothing and personal items,0.1874,False,False
ladys,Substances and poisons,0.1984,False,False
lady,Clothing and personal items,0.3174,False,False
ladies,Clothing and personal items,0.2696,False,False
lad,Clothing and personal items,0.3185,False,False
labyrinth_streets,General use,0.0,False,True
labyrinth_house,General use,0.0,False,True
laboratory,Detection and investigation terms,0.5061,False,False
knowledge,Detection and investigation terms,0.4521,False,False
knives,Weapons and projectiles,0.7421,False,False
knife_throat,General use,0.0,False,True
knife_hand,General use,0.0,False,True
knife,Weapons and projectiles,0.858,True,False
knees,Injuries and body parts,0.2866,False,False
knee,Injuries and body parts,0.3412,False,False
kitchen,Clothing and personal items,0.4526,False,False
king,Clothing and personal items,0.3389,False,False
kindness,Locations and environments,0.2872,False,False
kind,Physical evidence,0.4912,False,False
keys,Clothing and personal items,0.4169,False,False
key,Detection and investigation terms,0.4624,False,False
justice,Detection and investigation terms,0.5123,False,False
jury,Detection and investigation terms,0.4183,False,False
june,Clothing and personal items,0.3978,False,False
judgment,Detection and investigation terms,0.5106,False,False
judge,Detection and investigation terms,0.6376,True,False
joy,Locations and environments,0.2872,False,False
journey,Detection and investigation terms,0.3444,False,False
joke,Crime scene objects,0.439,False,False
john,Clothing and personal items,0.3978,False,False
job,Detection and investigation terms,0.3376,False,False
jimmy,Clothing and personal items,0.3978,False,False
jim,Clothing and personal items,0.3978,False,False
jewels,Clothing and personal items,0.254,False,False
jest,Crime scene objects,0.439,False,False
jefferson_hope,General use,0.0,False,True
jefferson,Clothing and personal items,0.3628,False,False
james,Clothing and personal items,0.3978,False,False
jackson,Clothing and personal items,0.3978,False,False
jack,Clothing and personal items,0.3978,False,False
issue,Crime scene objects,0.5123,False,False
isle,Clothing and personal items,0.3181,False,False
irregularity,Physical evidence,0.4575,False,False
iron,Physical evidence,0.4584,False,False
investigation_case,General use,0.0,False,True
investigation,Detection and investigation terms,0.5493,False,False
invaders,Weapons and projectiles,0.4471,False,False
introduction,Physical evidence,0.5728,False,False
interview_end,General use,0.0,False,True
interview,Crime scene objects,0.3316,False,False
intervals,Physical evidence,0.4522,False,False
interval,Physical evidence,0.4522,False,False
interpreter,Physical evidence,0.1658,False,False
interpretation,Physical evidence,0.5728,False,False
interest_letter,General use,0.0,False,True
interest_face,General use,0.0,False,True
interest,Physical evidence,0.6391,False,False
intention_day,General use,0.0,False,True
intention,Detection and investigation terms,0.5414,False,False
intent,Detection and investigation terms,0.5414,False,False
intensity_face,General use,0.0,False,True
insult,Physical evidence,0.3694,False,False
instructions,Clothing and personal items,0.2731,False,False
instant,Crime scene objects,0.2733,False,False
instance,Physical evidence,0.5728,False,False
inspector_way,General use,0.0,False,True
inspector_matter,General use,0.0,False,True
inspector_charge,General use,0.0,False,True
inspector_case,General use,0.0,False,True
inspector,Detection and investigation terms,0.3446,False,False
inspection,Detection and investigation terms,0.5061,False,False
inside,Injuries and body parts,0.395,False,False
inquiry_order,General use,0.0,False,True
inquiry_man,General use,0.0,False,True
inquiry_foot,General use,0.0,False,True
inquiry_facts,General use,0.0,False,True
inquiry,Detection and investigation terms,0.5493,False,False
inquiries,Detection and investigation terms,0.4838,False,False
inn,Clothing and personal items,0.3628,False,False
ink,Physical evidence,0.4053,True,False
initials,Weapons and projectiles,0.1925,False,False
information_police,General use,0.0,False,True
information_lady,General use,0.0,False,True
information,Crime scene objects,0.6409,False,False
influence,Physical evidence,0.525,False,False
inferences,Detection and investigation terms,0.369,False,False
inference,Physical evidence,0.4438,False,False
indoors_day,General use,0.0,False,True
individuals,Physical evidence,0.5694,False,False
indications,Physical evidence,0.5301,False,False
indication,Physical evidence,0.5954,False,False
india,Clothing and personal items,0.2998,False,False
index,Physical evidence,0.5954,False,False
indentation,Physical evidence,0.3149,False,False
incident_mind,General use,0.0,False,True
incident_impression_mind,General use,0.0,False,True
incident_impression,General use,0.0,False,True
incident_day,General use,0.0,False,True
incident,Detection and investigation terms,0.5493,False,False
incessant,Physical evidence,0.2904,False,False
inaction,Detection and investigation terms,0.3711,False,False
impunity,Locations and environments,0.3588,False,False
improvement,Detection and investigation terms,0.5695,False,False
impression_mind,General use,0.0,False,True
impression_deformity,General use,0.0,False,True
impression,Detection and investigation terms,0.5497,False,False
impossibility,Detection and investigation terms,0.5212,False,False
importance,Physical evidence,0.5156,False,False
illness,Injuries and body parts,0.6459,False,False
idiot,Clothing and personal items,0.3695,False,False
identity,Detection and investigation terms,0.3511,False,False
idea,Physical evidence,0.5728,False,False
hypothesis,Physical evidence,0.5954,False,False
hut,Clothing and personal items,0.7726,False,False
husband,Clothing and personal items,0.4223,False,False
hunter,Weapons and projectiles,0.2591,False,False
hum,Crime scene objects,0.1663,False,False
hugo,Clothing and personal items,0.2692,False,False
hugh,Clothing and personal items,0.3978,False,False
hudson,Clothing and personal items,0.3978,False,False
houses_parliament,General use,0.0,False,True
houses,Detection and investigation terms,0.1729,False,False
housekeeper,Detection and investigation terms,0.1376,False,False
household,Physical evidence,0.3736,False,False
house_windows,General use,0.0,False,True
house_garden,General use,0.0,False,True
house_furniture,General use,0.0,False,True
house,Detection and investigation terms,0.4129,False,False
hours_drive,General use,0.0,False,True
hours,Clothing and personal items,0.1759,False,False
hour,Clothing and personal items,0.1759,False,False
hound,Clothing and personal items,0.248,False,False
hotel,Clothing and personal items,0.3951,False,False
hospital,Injuries and body parts,0.5898,False,False
horses,Clothing and personal items,0.3975,False,False
horse_trap,General use,0.0,False,True
horse,Clothing and personal items,0.5216,False,False
horror,Locations and environments,0.5036,False,False
hopkins,Clothing and personal items,0.3042,False,False
hopes,Detection and investigation terms,0.3811,False,False
hope,Clothing and personal items,0.3679,False,False
honours,Detection and investigation terms,0.3484,False,False
honour_money,General use,0.0,False,True
honour,Detection and investigation terms,0.3474,False,False
home,Crime scene objects,0.3009,False,False
hollow_hand,General use,0.0,False,True
hollow,Clothing and personal items,0.7726,False,False
hole,Clothing and personal items,0.3809,False,False
holder,Crime scene objects,0.3259,False,False
history,Clothing and personal items,0.4581,False,False
hill,Clothing and personal items,0.3978,False,False
hidingplace,General use,0.0,False,True
henry,Clothing and personal items,0.3978,False,False
help,Physical evidence,0.525,False,False
heir,Locations and environments,0.3034,False,False
height,Physical evidence,0.4128,False,False
heels,Clothing and personal items,0.1941,False,False
heavens,Physical evidence,0.3124,False,False
heaven,Locations and environments,0.2872,False,False
heath,Clothing and personal items,0.3978,False,False
heartit_heart,General use,0.0,False,True
heart_trouble,General use,0.0,False,True
heart_thought,General use,0.0,False,True
heart_s,General use,0.0,False,True
heart_one,General use,0.0,False,True
heart_mouth,General use,0.0,False,True
heart_hope,General use,0.0,False,True
heart_hands,General use,0.0,False,True
heart_disease,General use,0.0,False,True
heart,Injuries and body parts,0.6459,False,False
health_time,General use,0.0,False,True
health_matter,General use,0.0,False,True
health,Injuries and body parts,0.6459,False,False
heads,Clothing and personal items,0.3398,False,False
headlines,Crime scene objects,0.5123,False,False
headache,Substances and poisons,0.419,False,False
head_hand,General use,0.0,False,True
head_face,General use,0.0,False,True
head_expression,General use,0.0,False,True
head,Injuries and body parts,0.395,False,False
hatred,Physical evidence,0.314,False,False
hate,Clothing and personal items,0.3679,False,False
hat_stick,General use,0.0,False,True
