assiduously,with care and persistence,Detection and investigation terms
assignation,a secret meeting romantic or suspicious,Crime scene objects
assist,to help,General use
assistants,plural of assistant,General use
assisted,helped (past tense),General use
assisting,helping (present participle),General use
assizes,periodic courts held in counties in England,Victorian slang and social context
associates,plural of associate,General use
associatesthe,fragment ("associates the"?),,
associating,forming connections (present participle),General use
association,a society or connection,General use
associations,plural of association,General use
assorted,mixed; of various types,General use
assortment,a variety or collection,General use
assuage,to lessen or satisfy ,General use
assume,to suppose or take for granted,General use
assumes,supposes (third-person singular),General use
assuming,supposing (present participle); also behaving arrogantly,General use
assuredly,certainly or definitely,General use
assures,guarantees or convinces (third-person singular),General use
assuring,convincing or reassuring (present participle),General use
asthmatic,a person suffering from asthma,Injuries and body parts
astir,awake and active,General use
astonish,to shock with surprise,General use
astonishing,very surprising,General use
astonishingly,in a very surprising way,General use
astonishmentindeed,fragment ("astonishment indeed"?),,
astounded,very surprised (past tense),General use
astounding,remarkably impressive or shocking,General use
astrakhan,a type of fur from lambs often used in collars,Clothing and personal items
astray,off the correct path; lost,General use
astride,with a leg on each side of something,General use
astronomer,a scientist who studies stars and planets,Victorian slang and social context
astronomers,plural of astronomer,Victorian slang and social context
astronomy,the study of celestial bodies,General use
astronomynil,fragment ("astronomy nil"?),,
astute,having sharp judgment,Detection and investigation terms
astutely,in a shrewd manner,Detection and investigation terms
astuteness,quality of being astute,Detection and investigation terms
asunder,into pieces; apart,General use
asylum,a hospital for the mentally ill; also refuge,Locations and environments
atavism,appearance of a trait from a distant ancestor; used in Holmes to explain criminal tendencies,Injuries and body parts
ate,consumed food (past tense of eat),General use
athene,ancient Greek goddess of wisdom; also a name,General use
athens,a city in Greece; reference in education or culture,Locations and environments
athlete,a person trained in sports,Victorian slang and social context
athletes,plural of athlete,Victorian slang and social context
athletic,physically strong and agile,General use
athwart,across or in opposition to,General use
atlanta,a city in the United States,Locations and environments
atlantic,relating to the Atlantic Ocean,Locations and environments
atoms,smallest units of matter,General use
atone,to make amends for a wrong,General use
atonement,compensation for a wrongdoing,General use
atones,makes amends (third-person singular),General use
atrocious,horrible or wicked,General use
atrocity,a cruel or brutal act,Crime scene objects
attach,to fasten or connect,General use
attaches,fastens or links (third-person singular),General use
attachment,a thing that is fastened; also emotional bond,General use
attacks,assaults or criticizes (third-person singular),Crime scene objects
attain,to achieve or reach,General use
attained,achieved (past tense),General use
attainments,achievements or skills,General use
attempting,trying to do something (present participle),Detection and investigation terms
attempts,tries or attacks (third-person singular),Detection and investigation terms
attend,to be present at; to pay attention,General use
attendance,presence at an event,General use
attendant,a person who serves or accompanies,Victorian slang and social context
attended,was present or served (past tense),General use
attending,being present or serving (present participle),General use
attends,is present or serves (third-person singular),General use
attentionwhich,fragment ("attention which"?),,
attentive,alert and considerate,General use
attentively,in a focused and polite way,General use
atwhy,fragment ("at why"?),,
atthats,fragment ("at that's"?),,
attic,a space under the roof of a house; often used for storage,Locations and environments
attica,region in Greece; also historical reference,Locations and environments
attics,plural of attic,Locations and environments
attire,clothing or dress,General use
attired,dressed (past tense),Clothing and personal items
attract,to draw interest or affection,General use
attracted,drew interest (past tense),General use
attraction,a feature that draws interest; also romantic interest,General use
attractions,plural of attraction,General use
attractive,pleasing or good-looking,General use
attracts,draws interest (third-person singular),General use
attribute,a quality or feature,General use
attributed,assigned as a cause or source (past tense),General use
atwhy,fragment ("at why"?),,
au,chemical symbol for gold; also "au revoir",General use
auckland,a city in New Zealand,Locations and environments
auction,a public sale where goods are sold to the highest bidder,Victorian slang and social context
audacious,daring or bold,General use
audacity,reckless courage or impudence,General use
audible,able to be heard,General use
audiblea,fragment ("audible a"?),,
audience,a group of listeners or spectators,General use
audits,plural of audit; financial reviews,General use
audley,a British surname or place name,Locations and environments
augmented,increased in size or value (past tense),General use
august,eight month,General use
aunt,a sister of one's parent,Victorian slang and social context
aunties,informal plural of aunt,Victorian slang and social context
aunts,plural of aunt,Victorian slang and social context
aus,likely fragment ("Aus." = Australia?),,
austere,severely simple; without luxury,General use
austerity,strictness or simplicity,General use
austerlitz,a battle or place name (Napoleonic era),Locations and environments
australian,a person from Australia,Victorian slang and social context
australians,plural of Australian,Victorian slang and social context
authenticity,the quality of being genuine,Physical evidence
author,a writer,Victorian slang and social context
authoritative,commanding respect; trustworthy,General use
authorship,the act of writing; also the body of work by an author,General use
autobiography,a biography written by oneself,General use
autocrat,a ruler with absolute power,General use
autograph,a person's signature, especially a celebrity's,Physical evidence
automatic,operating by itself,General use
autumn,the season between summer and winter,General use
autumnal,relating to autumn,General use
auxiliary,supporting or supplementary,General use
available,able to be used or obtained,General use
availed,was of use or help (past tense),General use
avarice,extreme greed,Victorian slang and social context
aveling,possibly a rare surname,Victorian slang and social context
avenge,to punish in return for a wrong,General use
avenged,took revenge for (past tense),General use
avenger,one who takes revenge,Crime scene objects
avenging,taking revenge (present participle),Crime scene objects
average,typical or mean value,General use
averse,strongly opposed,General use
aversion,strong dislike,General use
avert,to turn away,General use
averted,turned away (past tense),General use
aviary,a large cage or building for birds,Locations and environments
avidity,enthusiasm or eagerness,General use
avoided,kept away from (past tense),General use
avoiding,keeping clear of (present participle),General use
avoids,keeps away from (third-person singular),General use
avowed,openly declared (past tense),General use
await,to wait for,General use
awaited,waited for (past tense),General use
awaits,waits for (third-person singular),General use
awake,not asleep,General use
awakened,woke up (past tense),General use
awakens,wakes up (third-person singular),General use
awalkin,fragment ("a walk in"?),,
awayoh,fragment ("away oh"?),,
awe,profound respect or fear,General use
awesome,inspiring awe; extremely impressive,General use
awestruck,overwhelmed with awe,General use
awhile,for a short time,General use
awkward,clumsy or uncomfortable,General use
awoke,wakened (past tense of awake),General use
awoken,woke up (past participle),General use
awry,turned to one side; wrong,General use
axe,a cutting tool; also a weapon,Weapons and projectiles
axiom,a statement accepted as true,General use
ay,archaic form of "yes",Victorian slang and social context
aye,variant of "yes",Victorian slang and social context
ayrshires,plural of Ayrshire (a Scottish county or breed),General use
azof,possibly a misspelling of "Azov" (sea or fortress),Locations and environments
azure,sky blue; often poetic,General use
babble,to talk rapidly and incoherently,General use
babbled,spoke incoherently (past tense),General use
babbling,rapid, incoherent speech (present participle),General use
babe,a baby or young child,General use
baboon,a large African monkey,General use
baboonlike,resembling a baboon,General use
baby,a very young child,General use
bachelors,plural of bachelor; also "Bachelors' buttons",Victorian slang and social context
backed,supported or reinforced (past tense),General use
backgammon,a board game popular in Victorian homes,General use
backgate,a rear entrance or alleyway,Locations and environments
background,context or setting; also one's origins,General use
backhander,a bribe; also a backward hit in sports,Victorian slang and social context
backs,plural of back,General use
backor,fragment ("back or"?),,
backstair,related to back stairs; often secretive or servant access,Locations and environments
backwards,in reverse; toward the back,General use
backwater,a remote or stagnant place,Locations and environments
backwaters,plural of backwater,Locations and environments
backwhen,fragment ("back when"?),,
backwoods,rural or uncivilized areas,Locations and environments
baddish,slightly bad (informal),General use
bade,gave or commanded (past tense of bid),General use
baden,a German town,Locations and environments
badge,a badge of office or identification,Clothing and personal items
badger,a burrowing animal; also to harass persistently,General use
badlyplayed,fragment ("badly played"?),,
badquite,fragment ("bad quite"?),,
baffled,confused or perplexed (past tense),Detection and investigation terms
bagatelle,a minor thing; also a tabletop game,General use
baggage,luggage; also derogatory for women,General use
baggily,with loose folds; loosely,General use
baggy,loose-fitting,General use
bags,plural of bag,General use
bail,the temporary release of an accused person,General use
bait,lure used to catch animals; also to tease,General use
baited,tormented or lured (past tense),General use
baits,lures or teases (third-person singular),General use
baize,a coarse woolen cloth often green used on tables,General use
bakers,plural of baker,Victorian slang and social context
balanced,evenly distributed; also mentally stable,General use
balancing,adjusting for equilibrium (present participle),General use
balcony,a platform projecting from a wall often enclosed,Locations and environments
bald,without hair on the head,General use
baldheaded,having no hair on the head,General use
baldly,in a bald manner; also bluntly,General use
baldness,the condition of being bald,General use
baldwin,a common surname; also a type of pear,Victorian slang and social context
baleful,menacing or harmful,General use
balked,hesitated or refused,General use
ball,a spherical object; also a formal dance,General use
ballarat,a city in Australia; gold rush town,Locations and environments
balloon,a large inflatable bag that floats,General use
balls,plural of ball,General use
balmoral,a type of shoe or boot; also a Scottish estate,Clothing and personal items
balmorals,plural of balmoral,Clothing and personal items
balmy,mild and pleasant; also crazy (slang),General use
balsamic,aromatic and resinous,Substances and poisons
balustraded,having a balustrade (row of small columns),General use
balzac,a famous French novelist; reference in literature,Victorian slang and social context
bamboo,a tall tropical grass; used in canes or furniture,Clothing and personal items
ban,an official prohibition,General use
bandage,a strip of cloth used to bind a wound,Injuries and body parts
bandaged,wrapped in a bandage (past tense),Injuries and body parts
bandages,plural of bandage,Injuries and body parts
bandanna,a colorful scarf often worn by men,Clothing and personal items
banded,formed into a group or wrapped with a band,General use
bandied,passed around casually (as in "bandied about"),General use
bandnothing,fragment ("band, nothing"?),,
bands,plural of band,General use
bandy,to exchange words or blows; also a game,General use
bang,a sudden loud noise; also to strike,General use
bangalore,a city in India,Locations and environments
banged,striking with a loud noise (past tense),General use
bangor,a city in Wales,Locations and environments
term,definition,category
banish,to expel someone from a place,General use
bankbook,a record of bank transactions,Victorian slang and social context
banked,supported or stored (past tense),General use
bankers,plural of banker; financial professionals,Victorian slang and social context
banking,the business of managing money,Victorian slang and social context
banknotes,printed paper money,Physical evidence
banks,plural of bank; also river banks,Locations and environments
banner,a piece of cloth with a symbol or slogan,General use
bannisters,plural of bannister (handrail support),General use
banquet,a large formal meal,General use
banquetinghall,a large room for formal dinners,Locations and environments
barbaric,savage or extremely cruel,General use
barbedheaded,likely a typo of "bareheaded" or "barbed head",,
barber,a person who cuts hair or shaves men,Victorian slang and social context
barberton,a place name in South Africa,Locations and environments
barcelona,a city in Spain,Locations and environments
barclays,a British bank; also surname,Victorian slang and social context
barredtailed,having a barred (striped) tail; used in bird/animal descriptions,General use
barrels,cylindrical containers; also firearm barrels,Weapons and projectiles
barren,infertile; also desolate,General use
barrenness,the state of being barren,General use
barrett,a surname,Victorian slang and social context
barricade,a barrier erected to block a street or passage,Crime scene objects
barricaded,blocked with a barricade (past tense),Crime scene objects
barrier,something that blocks the way,General use
barriers,plural of barrier,General use
barrister,a lawyer who speaks in court,Victorian slang and social context
barrow,a wheelbarrow or prehistoric burial mound,Locations and environments
barrymores,a prominent acting family; reference in culture,Victorian slang and social context
bars,plural of bar; also establishments or metal rods,Locations and environments
bartholomews,St. Bartholomew's Hospital in London,Locations and environments
barton,a farm or manor,Locations and environments
barts,abbreviation for St. Bartholomew's Hospital,Locations and environments
baryta,a chemical used in photographic paper,Physical evidence
basaltic,like basalt; dark volcanic rock,General use
base,foundation; also immoral or low,General use
based,established on (past tense),General use
basement,a room below ground level,Locations and environments
bashful,shy or timid,General use
basil,a male given name; also a herb,General use
basin,a bowl for holding water,Clothing and personal items
bask,to lie in warmth or comfort,General use
baskervillethat,fragment ("Baskerville that"?),,
basket,a container made of woven strips,Physical evidence
basketchair,likely "basket chair" — a wicker chair,Clothing and personal items
basketful,as much as a basket can hold,General use
baskets,plural of basket,Physical evidence
basking,lying in warmth (present participle),General use
basle,old spelling of Basel,Locations and environments
bass,a low musical tone; also a type of fish,General use
batch,a group produced at one time,General use
bated,archaic form of "abated"; in "bated breath" — with suspense,General use
bathed,washed in water (past tense),General use
bathing,swimming or washing (present participle),General use
bathroom,a room with a bath or shower,General use
bathsheba,a biblical name; also used in literature,General use
bathsponge,a natural sponge from the sea,General use
battalion,a large group of soldiers,General use
battered,beaten or damaged (past tense),Injuries and body parts
battery,a series of cells; also a legal assault,Crime scene objects
battle,a fight between armies,Crime scene objects
battleaxe,a weapon; also a term for a fierce woman,Weapons and projectiles
battleship,a large warship,General use
battlesignals,signals used during combat,General use
baulk,obstacle; also to hesitate (UK spelling),General use
baulks,plural of baulk,General use
bawl,to shout loudly,General use
bawling,shouting loudly (present participle),General use
baxter,a surname,Victorian slang and social context
baxters,plural of Baxter,Victorian slang and social context
bay,a body of water; also a dog's howl,General use
bayard,a knightly name; symbol of chivalry,General use
baying,howling (as a hound),General use
bayonets,plural of bayonet — a blade attached to a rifle,Weapons and projectiles
bayswater,a district in West London,Locations and environments
beach,a sandy shore,Locations and environments
beacons,plural of beacon — a signal fire or light,General use
beads,small decorative balls on a string,Physical evidence
beady,small and bright,General use
beagle,a breed of dog used for tracking,General use
beak,a bird's bill; also slang for a detective,Victorian slang and social context
beam,a long piece of wood; also ray of light,General use
beamed,supported by beams; also emitted light (past tense),General use
beams,plural of beam,General use
bean,a legume; also slang for head,General use
beardgolden,likely "golden-bearded" — having a golden beard,General use
beards,plural of beard,Clothing and personal items
bearer,one who carries something,General use
bearers,plural of bearer,General use
bearinga,fragment ("bearing a"?),,
bearings,position or posture; also mechanical parts,General use
bearskin,a tall military hat made of bear fur,Clothing and personal items
beasts,plural of beast,General use
beatand,fragment ("beat and"?),,
beatitude,a state of blessed happiness,General use
beats,third-person singular of "beat",General use
beauchamp,a surname; appears in Holmes stories,Victorian slang and social context
beaune,a town in France,Locations and environments
beauties,plural of beauty,General use
beautifully,in a beautiful manner,General use
beautyeh,fragment ("beauty eh"?),,
beautywas,fragment ("beauty was"?),,
becher,a surname,Victorian slang and social context
bechers,plural of Becher,Victorian slang and social context
beckenham,a suburb in South London,Locations and environments
beckoned,summoned with a gesture (past tense),General use
beckoning,calling with a gesture (present participle),General use
bedchamber,a bedroom,Locations and environments
beddington,a place in Surrey England,Locations and environments
bediamonded,decorated with diamonds,Clothing and personal items
bedraggled,soaked and disheveled,General use
beds,plural of bed,General use
bedside,adjacent to a bed,General use
bedtime,the time to go to bed,General use
bee,a stinging insect; also busy person,General use
beech,a type of tree,General use}
beechers,plural of Beecher,Victorian slang and social context
beef,meat from a cow,General use
beefarming,the raising of cattle for meat,General use
beehive,a structure for bees,General use
beenyes,fragment ("been yes"?),,
beer,an alcoholic drink made from grain,General use
bees,plural of bee,General use
beeswax,a substance made by bees; also "mind your beeswax",General use
beeswing,a fine sediment in old wine,Substances and poisons
beetle,an insect; also a heavy hammer,General use
beetleridden,infested with beetles,General use
beetles,plural of beetle,General use
beetling,overhanging; also beating cloth (archaic),General use
befall,to happen to someone,General use
befallen,happened to (past participle),General use
befell,happened to (past tense),General use
befits,is suitable for,General use
befogged,confused or mentally clouded,General use
befooled,deceived or tricked,General use
beforeabout,fragment ("before about"?),,
beforebefore,fragment ("before before"?),,
beforebreakfast,occurring before breakfast,General use
beforeso,fragment ("before so"?),,
beforesuch,fragment ("before such"?),,
beget,to procreate,General use
beggar,a person who asks for money,Victorian slang and social context
beggarly,poor or miserly,General use
beggarman,an old term for a male beggar,Victorian slang and social context
beggars,plural of beggar,Victorian slang and social context
beggary,the state of being a beggar,Victorian slang and social context
begging,asking for money (present participle),Victorian slang and social context
beginnings,plural of beginning,General use
begins,starts (third-person singular),General use
begs,asks (third-person singular),General use
beguiling,charming or misleading,General use
behalf,advantage or support ("on behalf of"),General use
behave,to act in a certain way,General use
behaved,acted (past tense),General use
behaving,acting (present participle),General use
behaviour,way of acting (UK spelling),General use
behold,to see or look at,General use
beige,a light brownish-gray color,Clothing and personal items
beings,plural of being,General use
belated,late,General use
belfast,a city in Northern Ireland,Locations and environments
belgian,a person from Belgium,Victorian slang and social context
belgium,a country in Western Europe,Locations and environments
belgrade,a city in Serbia,Locations and environments
belied,contradicted or misrepresented (past tense),General use
believers,plural of believer,General use
believes,is convinced of (third-person singular),General use
believing,being convinced (present participle),General use
belladonna,a poisonous plant used in medicine,Substances and poisons
belle,a beautiful woman,Victorian slang and social context
bellinger,a surname,Victorian slang and social context
bellow,to roar loudly,General use
bellowed,roared (past tense),General use
bellpull,a cord used to ring a bell,Physical evidence
bellropes,plural of bell rope,Physical evidence
bellwhich,fragment ("bell which"?),,
belly,the abdomen,Injuries and body parts
belminster,likely a fictional or rare place name,Locations and environments
belmont,a place name in UK and US,Locations and environments
belong,to be the property of,General use
belonging,a possession; also fitting in,General use
belongings,plural of belonging,Physical evidence
beloved,a loved one,General use
belt,a strip of leather; also to hit,General use
bemoaning,expressing sorrow (present participle),General use
bemused,confused or preoccupied,General use
ben,a hill; also short for Benjamin,General use
benares,an old name for Varanasi, India,Locations and environments
bench,a long seat; also judicial seat,General use
bend,to curve or stoop,General use
bender,a drinking spree; also a person who bends,General use
benefactor,a person who gives help or money,Victorian slang and social context
benefit,advantage; also a charitable event,General use
benevolence,kindness or generosity,General use
benevolent,well-meaning and kindly,General use
bengal,a region in India; also "Bengal light",Locations and environments
bentinck,a British noble family; also place name,Locations and environments
bentleys,plural of Bentley (car or surname),Victorian slang and social context
bequeathed,left in a will (past tense),General use
bequest,a gift left in a will,General use
bereaved,deprived of a loved one by death,General use
bereavement,the state of having lost someone,General use
berkshire,a county in England,Locations and environments
berkshires,plural of Berkshire,Locations and environments
berlin,a city in Germany; also a type of carriage,Locations and environments
bermondsey,a district in South London,Locations and environments
bermuda,a British territory in the Atlantic,Locations and environments
bernstone,likely a rare or fictional name,Locations and environments
bert,a familiar form of Robert,Victorian slang and social context
berth,a sleeping space on a ship; also job or position,General use
berths,plural of berth,General use
bertillon,a system of criminal identification using measurements,Detection and investigation terms
beryl,a semi-precious gemstone,Clothing and personal items
beryls,plural of beryl,Clothing and personal items
beseeching,imploring (present participle),General use
besetting,afflicting persistently,General use
beshawled,wearing a shawl (archaic),Clothing and personal items
besmirched,soiled or tarnished,General use
besotted,infatuated or addicted,General use
besought,sought earnestly (archaic past tense),General use
bespectacled,wearing glasses,Clothing and personal items
bespoke,custom-made,Victorian slang and social context
best balanced,well-proportioned,General use
bestiality,brutish behavior; cruelty,General use
bestirred,roused into action (past tense),General use
bestow,to give or present,General use
best-preserved,most well-kept,General use
bet,to stake money on an outcome,Victorian slang and social context
betaken,archaic past participle of "betake",,
bethought,thought carefully (archaic),General use
betimes,early or in good time,General use
betokened,indicated or signified (past tense),General use
betray,to reveal a secret or be disloyal,General use
betrayal,the act of betraying,Crime scene objects
betrayed,was unfaithful or revealed (past tense),General use
betraying,revealing or being disloyal (present participle),General use
betrothal,the state of being engaged to marry,General use
bets,plural of bet,Victorian slang and social context
better-lined,well-dressed or well-off,General use
betting,the act of gambling,Victorian slang and social context
betting book,a record of bets,Physical evidence
betwixt,between (archaic),General use
beverley,a town in Yorkshire, England,Locations and environments
bewailing,lamenting (present participle),General use
beware,to be cautious,General use
bewildered,confused (past tense),General use
bewildering,causing confusion (present participle),General use
bewilderment,a state of confusion,General use
bhurtee,likely a misspelling of "Bhurtpore" or similar Indian place,,
bias,a prejudice in favor of or against something,General use
biased,prejudiced (past tense),General use
biases,plural of bias,General use
biassed,UK spelling of "biased",General use
bible,the sacred text of Christianity,General use
biblical,relating to the Bible,General use
bibliophile,a lover of books,Victorian slang and social context
bicycled,rode a bicycle (past tense),General use
bicycles,plural of bicycle,General use
bicycling,riding a bicycle (present participle),General use
bicyclist,a person who rides a bicycle,General use
bid,to offer or command,General use
bidding,offering (present participle),General use
biddle,a surname,Victorian slang and social context
bided,waited (past tense of bide),General use
biding,waiting (present participle),General use
bids,offers or commands (third-person singular),General use
bier,a stand on which a coffin is placed,General use
bigger,comparative of "big",General use
biggest,superlative of "big",General use
bighornfor,fragment ("big horn for"?),,
bijou,small and elegant (from French),General use
bileshot,appearing jaundiced or ill,Injuries and body parts
bilious,relating to bile; irritable,Injuries and body parts
billet,a sleeping place; also a note,General use
billets,plural of billet,General use
billiard,a game played on a table with cues and balls,General use
billiardcue,a stick used in billiards,Weapons and projectiles
billiardmarker,a person who keeps score in billiards,General use
billiardroom,a room for playing billiards,Locations and environments
billiards,plural of billiard,General use
bills,plural of bill; also checks or banknotes,Physical evidence
billycock,a type of hat (derby),Clothing and personal items
bimetallic,composed of two metals,General use
bind,to tie or restrict,General use
binding,tying (present participle); also book cover,General use
binomial,consisting of two names or terms,General use
biographer,a writer of biographies,Victorian slang and social context
biographies,plural of biography,General use
biography,the story of a person's life,General use
birchmoor,likely a fictional or rare place,Locations and environments
birdpractically,fragment ("bird practically"?),,
birdsa,fragment ("birds a"?),,
birdseye,a close-up view; also a pattern,General use
birdstuffers,taxidermists who preserve birds,Victorian slang and social context
birmingham,a city in central England,Locations and environments
birth,the emergence of a baby from the womb,General use
birthday,the anniversary of one's birth,General use
birthplace,the location where one was born,Locations and environments
bischoff,a surname,Victorian slang and social context
biscuit,a small baked good; also "cracker" (US),General use
biscuits,plural of biscuit,General use
bishopgate,a street in London,Locations and environments
bisons,plural of bison,General use
bisulphate,a chemical compound,Substances and poisons
bite,to cut with teeth,General use
bites,third-person singular of "bite",General use
biting,sharp or sarcastic; also gnawing (present participle),General use
bits,plural of bit,General use
bitten,bit (past participle),General use
bittern,a type of heron,General use
bitterness,the quality of being bitter,General use
bitterns,plural of bittern,General use
bizarre,strange or unusual,General use
blackbearded,having a black beard,Clothing and personal items
blackboard,a dark board for writing with chalk,General use
blackclothed,dressed in black,Clothing and personal items
blacker,comparative of "black",General use
blackest,superlative of "black",General use
blackeyed,having dark circles or marks around the eyes,Injuries and body parts
blackfaced,with a dark face; also racial term,Victorian slang and social context
blackfeet,a Native American tribe,Victorian slang and social context
blackguard,a scoundrel or rascal,Victorian slang and social context
blackhaired,having black hair,Clothing and personal items
blackheath,a district in South London,Locations and environments
blackish,somewhat black,General use
blackletter,old-style Gothic print,General use
blacklike,resembling something black,General use
blackmail,extortion by threat,Crime scene objects
blackmailed,extorted (past tense),Crime scene objects
blackmailer,a person who blackmails,Crime scene objects
blackmailers,plural of blackmailer,Crime scene objects
blackmailing,extorting (present participle),Crime scene objects
blackness,the quality of being black,General use
blacksmith,a worker in iron,Victorian slang and social context
blackthorn,a thorny shrub; also a type of walking stick,Weapons and projectiles
blackwall,a district in East London,Locations and environments
blackwater,a place name in Ireland or Florida,Locations and environments
blackwell,a surname or place name,Locations and environments
blade,a knife or sword; also a leaf,Weapons and projectiles
bladedeep,fragment ("blade deep"?),,
blair,a surname,Victorian slang and social context
blamed,accused or censured (past tense),General use
blanche,a female given name (French),General use
blanched,turned pale; also whitened (past tense),Injuries and body parts
blanco,a substance for whitening leather,Clothing and personal items
bland,dull or mild,General use
blandest,superlative of bland,General use
blandford,a town in Dorset, England,Locations and environments
blandly,in a mild manner,General use
blanket,a warm covering for a bed,Clothing and personal items
blankets,plural of blanket,Clothing and personal items
blankly,without expression,General use
blanks,plural of blank; also unfilled spaces,General use
blast,a strong gust; also an explosion,General use
blasted,ruined or cursed (past tense),General use
blazed,shone brightly; also marked a trail (past tense),General use
blazes,plural of blaze; also expletive ("what the blazes?"),General use
blazonings,heraldic decorations or emblems,General use
bleach,a chemical used to whiten,Substances and poisons
bleak,cold and dreary,General use
bleaker,more bleak,General use
bleared,blurred or dim,Injuries and body parts
bleat,the cry of a sheep,General use
bleatings,plural of bleating,General use
bled,lost blood (past tense),Injuries and body parts
bleeding,losing blood (present participle),Injuries and body parts
blend,to mix together,General use
blended,mixed (past tense),General use
blessed,holy or fortunate (past tense of bless),General use
blessing,a prayer for divine help,General use
blessings,plural of blessing,General use
blessingtons,plural of Blessington (surname),Victorian slang and social context
blight,a disease affecting plants,General use
blighted,affected by blight (past tense),General use
blinding,obscuring vision (present participle),General use
blindly,without sight or judgment,General use
blindness,the state of being blind,Injuries and body parts
blinked,shut eyes quickly (past tense),General use
blinking,shutting eyes rapidly (present participle),General use
blistering,causing blisters; also intense (present participle),General use
blithe,cheerful and carefree,General use
bloated,swollen,Injuries and body parts
bloc,a group with common interests,General use
blockaded,prevented from entering or leaving (past tense),General use
blocked,obstructed (past tense),General use
blocking,obstructing (present participle),General use
blocks,plural of block,General use
blond,having light-colored hair,General use
blonde,a light-haired woman,Victorian slang and social context
blondin,Charles Blondin, a famous tightrope walker,Victorian slang and social context
bloodbespattered,splattered with blood,Injuries and body parts
bloodhound,a dog trained to track by scent,General use
bloodless,without blood; also dull,Injuries and body parts
bloodmark,a mark made by blood,Physical evidence
bloodred,as red as blood,General use
bloodrelation,a family member,General use
bloodrelatives,plural of blood relative,General use
bloodstain,a spot of blood,Physical evidence
bloodstained,marked with blood,Physical evidence
bloodstains,plural of bloodstain,Physical evidence
bloodthirsty,excessively eager to kill,General use
bloody,covered in blood; also an intensifier (vulgar),General use
bloom,a flower; also a healthy glow,General use
bloomsbury,a district in London,Locations and environments
blossomed,flowered (past tense),General use
blossoms,plural of blossom,General use
blot,a smudge; also a flaw,General use
blotched,marked with blotches,General use
blotches,plural of blotch,General use
blotted,marked with ink (past tense),General use
blotting,absorbing ink (present participle),General use
blottingpad,a pad used to blot ink,Physical evidence
blottingpaper,paper used to absorb excess ink,Physical evidence
blouse,a woman's shirt,Clothing and personal items
blowing,exhaling; also a strong wind (present participle),General use
blown,carried by wind; inflated (past tense),General use
blowpipe,a tube for directing a flame,Substances and poisons
blows,plural of blow; also third-person singular of "blow",General use
blubbering,crying noisily (present participle),General use
bludgeon,a heavy club used as a weapon,Weapons and projectiles
bludgeonman,likely a made-up or rare term,,
bludgeons,plural of bludgeon,Weapons and projectiles
bluebottles,a type of fly; also slang for police,Victorian slang and social context
blueeyed,having blue eyes,Clothing and personal items
bluegrey,a color between blue and grey,General use
bluelipped,having blue lips; often from cold or illness,Injuries and body parts
blues,plural of blue; also melancholy,General use
bluetinted,slightly blue in color,General use
blueveined,having visible blue veins,Injuries and body parts
bluff,deceptive; also a steep cliff,General use
bluish,somewhat blue,General use
blunder,a serious mistake,Crime scene objects
blundered,made a mistake (past tense),Crime scene objects
blundering,acting clumsily (present participle),Crime scene objects
blunders,plural of blunder,Crime scene objects
blundersi,fragment ("blunders I"?),,
blunt,not sharp; also direct,General use
bluntly,in a direct manner,General use
blur,to make indistinct,General use
blurred,indistinct (past tense),General use
blurs,plural of blur,General use
blurted,spoke suddenly (past tense),General use
blush,to turn red from embarrassment,General use
blushed,turned red (past tense),General use
blushing,turning red (present participle),General use
bluster,to talk in a loud, threatening way,General use
boa,a type of scarf or snake,Clothing and personal items
boarded,lived in or got on (past tense),General use
boarder,a person who lives in exchange for payment,Victorian slang and social context
boarders,plural of boarder,Victorian slang and social context
boarding,living in a place for payment (present participle),General use
boardinghouse,a lodging house,Locations and environments
boardinghouses,plural of boardinghouse,Locations and environments
boardingschool,a school where students live,Locations and environments
boardingschools,plural of boarding school,Locations and environments
boards,plural of board; also stage,General use
boars,plural of boar,General use
boasted,spoke with pride (past tense),General use
boasting,bragging (present participle),General use
boatbuilder,a person who builds boats,Victorian slang and social context
boatman,a man who operates a boat,Victorian slang and social context
boats,plural of boat,General use
boatslength,a unit of distance (one boat's length),General use
bob,a short form of Robert; also a bob of the head,General use
boccaccios,refers to Giovanni Boccaccio, Italian writer,Victorian slang and social context
boded,was a sign of (past tense),General use
bodes,is a sign of (third-person singular),General use
bodies,plural of body,Injuries and body parts
bodily,relating to the body,General use
bodkin,a small dagger or needle,Weapons and projectiles
bog,a wet, spongy ground,Locations and environments
boggirt,likely a typo or dialect,,
boggling,astonished (as in "boggle at"),General use
boggy,like a bog; marshy,General use
boghole,likely a dialect or rare term,,
bogie,a railcar; also a ghost,General use
bogs,plural of bog,Locations and environments
bogus,fake or counterfeit,General use
bohemian,a person with an unconventional lifestyle,Victorian slang and social context
bohemianism,the lifestyle of a bohemian,Victorian slang and social context
boil,to heat liquid until bubbling; also a skin abscess,Injuries and body parts
boilers,plural of boiler,General use
boiling,heated to bubbling; also angry (present participle),General use
boisterous,loud and energetic,General use
boisterously,in a boisterous manner,General use
bolder,more bold,General use
boldest,most bold,General use
boldly,in a brave or confident way,General use
bolt,a metal rod; also to run away suddenly,General use
bolted,secured with a bolt; fled (past tense),General use
bolts,plural of bolt,General use
bombay,old name for Mumbai, India,Locations and environments
bon,good (French),General use
bond,a link; also a financial certificate,General use
bonds,plural of bond,General use
